snapshot_time,history_id,alert_id,route_id,direction_id,title,description,alert_type,first_seen,last_seen,duration_hours,active_flag,inactive_detected_at,occurrence_index,observation_count,route_match_status
2026-09-25T23:14:38.041531+00:00,SF_15880|45|ALL|3,SF_15880,45,,45 STOP TEMP. MOVED Board farside at Union/Hyde.,45 STOP TEMP. MOVED Board farside at Union/Hyde.,STOP_MOVED,2026-09-25T15:08:34.861081+00:00,2026-09-25T22:56:34.427833+00:00,7.8,False,2026-09-25T23:14:38.041531+00:00,3,21,MATCHED
2026-09-26T00:08:32.560502+00:00,SF_15882|29|ALL|5,SF_15882,29,,29 STOP TEMP. MOVED Board at San Bruno & Paul,29 STOP TEMP. MOVED Board at San Bruno & Paul,STOP_MOVED,2026-09-25T15:08:34.861081+00:00,2026-09-25T23:50:45.209663+00:00,8.703,False,2026-09-26T00:08:32.560502+00:00,5,24,MATCHED
2026-09-25T22:03:08.646429+00:00,SF_15836|2|ALL|4,SF_15836,2,,2 STOP TEMP. MOVED Board 60 ft past existing stop,2 STOP TEMP. MOVED Board 60 ft past existing stop,STOP_MOVED,2026-09-25T16:14:35.855190+00:00,2026-09-25T21:44:25.202291+00:00,5.497,False,2026-09-25T22:03:08.646429+00:00,4,13,MATCHED
2026-09-25T22:03:08.646429+00:00,SF_15839|9R|ALL|5,SF_15839,9R,,"9, 9R STOP TEMP. MOVED Board on other side of Santos","9, 9R STOP TEMP. MOVED Board on other side of Santos",STOP_MOVED,2026-09-25T16:14:35.855190+00:00,2026-09-25T21:44:25.202291+00:00,5.497,False,2026-09-25T22:03:08.646429+00:00,5,13,MATCHED
2026-09-25T22:03:08.646429+00:00,SF_15839|9|ALL|5,SF_15839,9,,"9, 9R STOP TEMP. MOVED Board on other side of Santos","9, 9R STOP TEMP. MOVED Board on other side of Santos",STOP_MOVED,2026-09-25T16:14:35.855190+00:00,2026-09-25T21:44:25.202291+00:00,5.497,False,2026-09-25T22:03:08.646429+00:00,5,13,MATCHED
2026-09-25T22:03:08.646429+00:00,SF_15861|27|ALL|2,SF_15861,27,,"27, 67 STOP TEMP. MOVED Board on other side of Mission","27, 67 STOP TEMP. MOVED Board on other side of Mission",STOP_MOVED,2026-09-25T16:14:35.855190+00:00,2026-09-25T21:44:25.202291+00:00,5.497,False,2026-09-25T22:03:08.646429+00:00,2,13,MATCHED
2026-09-25T22:03:08.646429+00:00,SF_15861|67|ALL|2,SF_15861,67,,"27, 67 STOP TEMP. MOVED Board on other side of Mission","27, 67 STOP TEMP. MOVED Board on other side of Mission",STOP_MOVED,2026-09-25T16:14:35.855190+00:00,2026-09-25T21:44:25.202291+00:00,5.497,False,2026-09-25T22:03:08.646429+00:00,2,13,MATCHED
2026-09-25T22:03:08.646429+00:00,SF_15862|48|ALL|2,SF_15862,48,,48 STOP TEMP. MOVED Board at 24th/Capp,48 STOP TEMP. MOVED Board at 24th/Capp,STOP_MOVED,2026-09-25T16:14:35.855190+00:00,2026-09-25T21:44:25.202291+00:00,5.497,False,2026-09-25T22:03:08.646429+00:00,2,13,MATCHED
2026-09-26T05:44:58.373753+00:00,SF_15842|56|ALL|1,SF_15842,56,,56 RRT STOP CLOSED Board: Rutland/Visitacion OR Bayshore/Blanken,56 RRT STOP CLOSED Board: Rutland/Visitacion OR Bayshore/Blanken,STOP_CLOSED,2026-09-25T20:35:00.482387+00:00,2026-09-26T01:54:46.090942+00:00,5.329,False,2026-09-26T05:44:58.373753+00:00,1,17,MATCHED
2026-09-25T22:56:34.427833+00:00,SF_15935|29|ALL|1,SF_15935,29,,IB 29 RRT due to PD activity. Board at San Bruno or Goettingen.,IB 29 RRT due to PD activity. Board at San Bruno or Goettingen.,SERVICE_NOTICE,2026-09-25T20:35:00.482387+00:00,2026-09-25T22:38:35.607958+00:00,2.06,False,2026-09-25T22:56:34.427833+00:00,1,8,MATCHED
2026-09-25T21:44:25.202291+00:00,1177248191|NETWORK_WIDE|ALL|1,1177248191,,,Inbound N-Judah Line Delayed at La Playa St,SF Muni reports inbound N-Judah Line delayed at La Playa St,DELAY,2026-09-25T21:26:34.619925+00:00,2026-09-25T21:26:34.619925+00:00,0.0,False,2026-09-25T21:44:25.202291+00:00,1,1,NETWORK_WIDE
2026-09-26T00:08:32.560502+00:00,1177256658|NETWORK_WIDE|ALL|1,1177256658,,,Powell-Hyde Cable Car and Powell-Mason Cable Car Lines Delayed at Jackson St and Mason St,"SF Muni reports Powell-Hyde Cable Car and Powell-Mason Cable Car Lines delayed at Jackson St and Mason St, due to a car on the tracks. Bus shuttles supporting Powell-Hyde and Powell-Mason service.",DELAY,2026-09-25T22:03:08.646429+00:00,2026-09-25T23:50:45.209663+00:00,1.793,False,2026-09-26T00:08:32.560502+00:00,1,7,NETWORK_WIDE
2026-09-26T05:44:58.373753+00:00,SF_14215|6|ALL|2,SF_14215,6,,"6 RRT STOP CLOSED Board at Van Ness, Webster or on Grove","6 RRT STOP CLOSED Board at Van Ness, Webster or on Grove",STOP_CLOSED,2026-09-25T23:14:38.041531+00:00,2026-09-26T01:54:46.090942+00:00,2.669,False,2026-09-26T05:44:58.373753+00:00,2,8,MATCHED
2026-09-26T06:57:08.562282+00:00,SF_15884|33|ALL|1,SF_15884,33,,33 STOP TEMP. MOVED Board at Stanyan/Fell,33 STOP TEMP. MOVED Board at Stanyan/Fell,STOP_MOVED,2026-09-26T05:44:58.373753+00:00,2026-09-26T06:57:08.562282+00:00,1.203,True,,1,5,MATCHED
